idx,ee_x,ee_y,ee_z
0,-0.6,-0.15,0.56
1,-0.6,-0.1323529411764706,0.56
2,-0.6,-0.11470588235294119,0.56
3,-0.6,-0.09705882352941175,0.56
4,-0.6,-0.07941176470588232,0.56
5,-0.6,-0.061764705882352916,0.56
6,-0.6,-0.04411764705882351,0.56
7,-0.6,-0.026470588235294135,0.56
8,-0.6,-0.008823529411764702,0.56
9,-0.6,0.008823529411764702,0.56
10,-0.6,0.02647058823529412,0.56
11,-0.6,0.04411764705882354,0.56
12,-0.6,0.06176470588235296,0.56
13,-0.6,0.07941176470588233,0.56
14,-0.6,0.09705882352941175,0.56
15,-0.6,0.11470588235294116,0.56
16,-0.6,0.1323529411764706,0.56
17,-0.6,0.15,0.56
18,-0.5840339375241034,0.15,0.56
19,-0.5680678750482067,0.15,0.56
20,-0.5521018125723101,0.15,0.56
21,-0.5361357500964135,0.15,0.56
22,-0.5342846124180486,0.13381294964028778,0.56
23,-0.5195912070960277,0.12419064748201439,0.56
24,-0.5048978017740069,0.11456834532374101,0.56
25,-0.49020439645198605,0.10494604316546763,0.56
26,-0.4755109911299652,0.09532374100719425,0.56
27,-0.4608175858079444,0.08570143884892087,0.56
28,-0.4461241804859236,0.0760791366906475,0.56
29,-0.4314307751639027,0.06645683453237412,0.56
30,-0.4167373698418819,0.05683453237410073,0.56
31,-0.402043964519861,0.047212230215827364,0.56
32,-0.3873505591978402,0.03758992805755397,0.56
33,-0.37265715387581944,0.02796762589928059,0.56
34,-0.35796374855379853,0.018345323741007225,0.56
35,-0.34327034323177774,0.008723021582733831,0.56
36,-0.32857693790975695,-0.000899280575539535,0.56
37,-0.3138835325877361,-0.010521582733812929,0.56
38,-0.29919012726571526,-0.02014388489208635,0.56
39,-0.2844967219436944,-0.02976618705035966,0.56
40,-0.26980331662167356,-0.039388489208633054,0.56
41,-0.2551099112996528,-0.04901079136690645,0.56
42,-0.24041650597763192,-0.058633093525179814,0.56
43,-0.2403779406093327,-0.04124700239808149,0.56
44,-0.24033937524103338,-0.02386091127098322,0.56
45,-0.2403008098727341,-0.006474820143884841,0.56
46,-0.2402622445044349,0.010911270983213428,0.56
47,-0.24022367913613568,0.02829736211031178,0.56
