idx,x,y,z,u,v,label
0,-1.5,-0.375,0.56,0.0,1.0,start/end
1,-1.5,-0.3571428571428571,0.56,0.0,0.9761904761904762,
2,-1.5,-0.3392857142857142,0.56,0.0,0.9523809523809523,
3,-1.5,-0.3214285714285714,0.56,0.0,0.9285714285714286,
4,-1.5,-0.3035714285714286,0.56,0.0,0.9047619047619048,
5,-1.5,-0.2857142857142857,0.56,0.0,0.8809523809523809,
6,-1.5,-0.2678571428571429,0.56,0.0,0.8571428571428572,
7,-1.5,-0.25,0.56,0.0,0.8333333333333334,
8,-1.5,-0.2321428571428572,0.56,0.0,0.8095238095238095,
9,-1.5,-0.2142857142857143,0.56,0.0,0.7857142857142857,
10,-1.5,-0.1964285714285714,0.56,0.0,0.7619047619047619,
11,-1.5,-0.1785714285714286,0.56,0.0,0.7380952380952381,
12,-1.5,-0.1607142857142857,0.56,0.0,0.7142857142857143,
13,-1.5,-0.1428571428571428,0.56,0.0,0.6904761904761905,
14,-1.5,-0.125,0.56,0.0,0.6666666666666667,
15,-1.5,-0.1071428571428571,0.56,0.0,0.6428571428571428,
16,-1.5,-0.0892857142857143,0.56,0.0,0.6190476190476191,
17,-1.5,-0.0714285714285714,0.56,0.0,0.5952380952380952,
18,-1.5,-0.05357142857142855,0.56,0.0,0.5714285714285714,
19,-1.5,-0.035714285714285754,0.56,0.0,0.5476190476190477,
20,-1.5,-0.017857142857142905,0.56,0.0,0.5238095238095238,
21,-1.5,0.0,0.56,0.0,0.5,
22,-1.5,0.017857142857142905,0.56,0.0,0.47619047619047616,
23,-1.5,0.035714285714285754,0.56,0.0,0.45238095238095233,
24,-1.5,0.05357142857142855,0.56,0.0,0.4285714285714286,
25,-1.5,0.0714285714285714,0.56,0.0,0.40476190476190477,
26,-1.5,0.0892857142857143,0.56,0.0,0.38095238095238093,
27,-1.5,0.1071428571428572,0.56,0.0,0.3571428571428571,
28,-1.5,0.125,0.56,0.0,0.33333333333333337,
29,-1.5,0.14285714285714285,0.56,0.0,0.30952380952380953,
30,-1.5,0.16071428571428573,0.56,0.0,0.2857142857142857,
31,-1.5,0.1785714285714286,0.56,0.0,0.26190476190476186,
32,-1.5,0.1964285714285714,0.56,0.0,0.23809523809523814,
33,-1.5,0.21428571428571427,0.56,0.0,0.2142857142857143,
34,-1.5,0.23214285714285715,0.56,0.0,0.19047619047619047,
35,-1.5,0.25,0.56,0.0,0.16666666666666663,
36,-1.5,0.2678571428571428,0.56,0.0,0.1428571428571429,
37,-1.5,0.2857142857142857,0.56,0.0,0.11904761904761907,
38,-1.5,0.3035714285714286,0.56,0.0,0.09523809523809523,
39,-1.5,0.32142857142857145,0.56,0.0,0.0714285714285714,
40,-1.5,0.33928571428571425,0.56,0.0,0.04761904761904767,
41,-1.5,0.3571428571428571,0.56,0.0,0.023809523809523836,
42,-1.5,0.375,0.56,0.0,0.0,
43,-1.482259930582337,0.375,0.56,0.005913356472554312,0.0,
44,-1.4645198611646741,0.375,0.56,0.011826712945108625,0.0,
45,-1.446779791747011,0.375,0.56,0.017740069417662936,0.0,
46,-1.4290397223293483,0.375,0.56,0.02365342589021725,0.0,
47,-1.4112996529116852,0.375,0.56,0.029566782362771566,0.0,
48,-1.3935595834940224,0.375,0.56,0.03548013883532587,0.0,
49,-1.3758195140763594,0.375,0.56,0.04139349530788019,0.0,
50,-1.3580794446586966,0.375,0.56,0.0473068517804345,0.0,
51,-1.3403393752410335,0.375,0.56,0.053220208252988815,0.0,
52,-1.338796760509063,0.3615107913669065,0.56,0.05373441316364572,0.017985611510791363,
53,-1.3372541457770921,0.34802158273381295,0.56,0.05424861807430262,0.035971223021582725,
54,-1.3357115310451215,0.33453237410071945,0.56,0.05476282298495952,0.05395683453237409,
55,-1.3207182603083656,0.3247136984290119,0.56,0.0597605798972115,0.0670484020946508,
56,-1.3057249895716097,0.31489502275730435,0.56,0.06475833680946348,0.0801399696569275,
57,-1.2907317188348535,0.30507634708559683,0.56,0.06975609372171547,0.09323153721920421,
58,-1.2757384480980976,0.2952576714138893,0.56,0.07475385063396746,0.10632310478148092,
59,-1.2607451773613416,0.2854389957421818,0.56,0.07975160754621943,0.11941467234375763,
60,-1.2457519066245857,0.27562032007047427,0.56,0.08474936445847142,0.13250623990603433,
61,-1.2307586358878297,0.26580164439876675,0.56,0.08974712137072341,0.14559780746831102,
62,-1.2157653651510738,0.25598296872705917,0.56,0.0947448782829754,0.15868937503058775,
63,-1.2007720944143179,0.24616429305535165,0.56,0.09974263519522737,0.17178094259286447,
64,-1.185778823677562,0.23634561738364412,0.56,0.10474039210747935,0.18487251015514117,
65,-1.170785552940806,0.2265269417119366,0.56,0.10973814901973133,0.19796407771741786,
66,-1.15579228220405,0.21670826604022908,0.56,0.11473590593198332,0.21105564527969456,
67,-1.1407990114672941,0.20688959036852153,0.56,0.11973366284423531,0.22414721284197128,
68,-1.125805740730538,0.197070914696814,0.56,0.1247314197564873,0.23723878040424798,
69,-1.1108124699937822,0.18725223902510646,0.56,0.1297291766687393,0.2503303479665247,
70,-1.0958191992570263,0.17743356335339894,0.56,0.13472693358099125,0.2634219155288014,
